物料代號,供應商簡稱,品名規格,單價,幣別,單位,預設收貨廠區
M7-AQF30-IC1-C01,吳宗鑌,AQF-30 IC1散熱片切斷模具(含沖床),18000,TWD,SET,新信路生產基地
M7-MKW10M-T1-2.5MM-TM,吳宗鑌,MKW10M變壓器餘線切斷模具,12500,TWD,SET,新信路生產基地
ME4-02-MKW5000C,吳宗鑌,MKW5000C變壓器餘線切斷模具,11000,TWD,SET,新信路生產基地
07-E-OTHR-GTP-150A-2,固緯,150MHz(10:1/1:1)示波器探棒,1530,TWD,PCS,中華西路總部
07-EQ_P-DS2-LAN,固緯,Ethernet & SVGA擴充卡(DS2-LAN),8900,TWD,PCS,中華西路總部
07-GTL-308,固緯,GTL-308-四線式測試線(1500mm),1600,TWD,SET,新信路生產基地
07-INS-PEL-2002A,固緯,電子負載機框 PEL-2002A,21000,TWD,PCS,中華西路總部
07-INS-PEL-2040A,固緯,電子負載 PEL-2040A,26000,TWD,PCS,中華西路總部
07-LCR-06B,固緯,LCR-06B測試治具(取代LCR-06A),3200,TWD,SET,新信路生產基地
07-LCR-09A,固緯,LCR-09A(由LCR-06A改),2500,TWD,PCS,新信路生產基地
GTP-060A-2,固緯,GTP-060A-2示波器探棒,950,TWD,SET,新信路生產基地
INS-GDM-8341,固緯,GDM-8341數位電表,9800,TWD,PCS,新信路生產基地
INS-GDS-2104A,固緯,"GDS-2104A(數位儲存示波器,4CH 100MHZ)",46200,TWD,SET,新信路生產基地
INS-GOM-804,固緯,微歐姆計,18000,TWD,SET,新信路生產基地
INS-GPM-8213,固緯,數位功率計GPM-8213,21000,TWD,SET,新信路生產基地
INS-PEL-2040,固緯,PEL-2040電子負載,22000,TWD,PCS,新信路生產基地
INS-PEL-2202,固緯,PEL-2202電子負載機框,18000,TWD,PCS,新信路生產基地
INS-PSS-3203,固緯,PSS-3203電源供應器(RS-232),10500,TWD,SET,新信路生產基地
LCR-06A,固緯,LCR-06A測試治具,3200,TWD,SET,新信路生產基地
LCR-08,固緯,LCR-08測試治具(LCR-819用),5500,TWD,PCS,新信路生產基地
07-ASTM D3359 tiles 20x30cm,洪印刷,20x30cm單白色塊300目10um網版(百格測試用),630,TWD,PCS,新信路生產基地
07-MKWI80-20X30-SV,洪印刷,MKWI80網版印刷板,2500,TWD,SET,新信路生產基地
FREIGHT,洪印刷,洪印刷運輸費用,500,TWD,SET,新信路生產基地
07-IPA-16L,新芳良,異丙醇16公升,1695,TWD,SET,新信路生產基地
012-1206473,信昌,FCF06JT-47K-Pb Free,0.033,TWD,PCS,中華西路總部
012-1206512,信昌,FCF06JT-5K1-Pb Free,0.033,TWD,PCS,新信路生產基地
FREIGHT,聯邦,聯邦快遞費用,0,TWD,SET,新信路生產基地
07-030142086,特好,142.86Ω 3W SQP 水泥電阻,2.9,TWD,PCS,新信路生產基地
07-030223088,特好,223.88Ω 3W SQP 水泥電阻,2.9,TWD,PCS,新信路生產基地
07-03025,特好,25Ω 3W SQP 水泥電阻,2.9,TWD,PCS,新信路生產基地
07-050330,特好,33RΩ 5W SQP 5% 水泥電阻,2.9,TWD,PCS,新信路生產基地
07-0508033,特好,8.33Ω 5W SQP 水泥電阻,2.9,TWD,PCS,新信路生產基地
07-5003081,特好,3.81 Ω 黃金鋁殼5% 50WAH(兩端銅線),65,TWD,PCS,新信路生產基地
07-A-0150R25,特好,0.25Ω 15W 黃金鋁殼電阻 1%,35,TWD,PCS,新信路生產基地
07-AH-50020051,特好,20.51Ω 15W ±5% AH黃金鋁殼,30,TWD,PCS,新信路生產基地
07-AH-5003057,特好,3.57Ω 15W ±5% AH黃金鋁殼,30,TWD,PCS,新信路生產基地
07-AH-500328077,特好,328.77Ω 15W ±5% AH黃金鋁殼,30,TWD,PCS,新信路生產基地
07-AH-50082019,特好,82.19Ω 15W ±5% AH黃金鋁殼,30,TWD,PCS,新信路生產基地
07-AH50032012,特好,32.12Ω 15W ±5% AH黃金鋁殼,30,TWD,PCS,新信路生產基地
07-B-3000R1,特好,0.1 ohm/300W/1%/黃金鋁殼,429,TWD,PCS,新信路生產基地
07-B-3000R2,特好,0.2 ohm/300W/1%/黃金鋁殼,429,TWD,PCS,新信路生產基地
07-B-3000R4,特好,0.4 ohm/300W/1%/黃金鋁殼,429,TWD,PCS,新信路生產基地
07-B-3000R8,特好,0.8 ohm/300W/1%/黃金鋁殼,429,TWD,PCS,新信路生產基地
07-B-30010,特好,1 ohm/300W/1%/黃金鋁殼,429,TWD,PCS,新信路生產基地
07-B-300160,特好,16 ohm/300W/1%/黃金鋁殼,429,TWD,PCS,新信路生產基地
07-B-30020,特好,2 ohm/300W/1%/黃金鋁殼,429,TWD,PCS,新信路生產基地
07-B-300320,特好,32 ohm/300W/1%/黃金鋁殼,429,TWD,PCS,新信路生產基地
07-B-30040,特好,4 ohm/300W/1%/黃金鋁殼,429,TWD,PCS,新信路生產基地
07-B-30080,特好,8 ohm/300W/1%/黃金鋁殼,429,TWD,PCS,新信路生產基地
07-B-50010,特好,1Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-50010240,特好,1024Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-5001280,特好,128Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-500160,特好,16Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-50020,特好,2Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-5002560,特好,256Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-500320,特好,32Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-50040,特好,4Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-5005120,特好,512Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-500640,特好,64Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-50080,特好,8Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-500R1,特好,0.1Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-500R2,特好,0.2Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-500R4,特好,0.4Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-B-500R8,特好,0.8Ω 50W +/-1% 黃金鋁殼,150,TWD,PCS,新信路生產基地
07-E-Res-1.6ohm50W,特好,1.6Ω 50W 1% 黃金鋁殼電阻,150,TWD,PCS,新信路生產基地
07-E-Res-10W-1,特好,1Ω 10W 1% 黃金鋁殼電阻,33,TWD,PCS,中華西路總部
07-E-Res-10W-128,特好,128Ω 10W 1% 黃金鋁殼電阻,33,TWD,PCS,中華西路總部
07-E-Res-10W-16,特好,16Ω 10W 1% 黃金鋁殼電阻,33,TWD,PCS,中華西路總部
07-E-Res-10W-2,特好,2Ω 10W 1% 黃金鋁殼電阻,33,TWD,PCS,中華西路總部
07-E-Res-10W-256,特好,256Ω 10W 1% 黃金鋁殼電阻,33,TWD,PCS,中華西路總部
07-E-Res-10W-32,特好,32Ω 10W 1% 黃金鋁殼電阻,33,TWD,PCS,中華西路總部
07-E-Res-10W-4,特好,4Ω 10W 1% 黃金鋁殼電阻,33,TWD,PCS,中華西路總部
07-E-Res-10W-512,特好,512Ω 10W 1% 黃金鋁殼電阻,33,TWD,PCS,中華西路總部
07-E-Res-10W-64,特好,64Ω 10W 1% 黃金鋁殼電阻,33,TWD,PCS,中華西路總部
07-E-Res-10W-8,特好,8Ω 10W 1% 黃金鋁殼電阻,33,TWD,PCS,中華西路總部
07-RES-112.8-9W,特好,水泥電阻112.8歐姆/5W,2.9,TWD,PCS,新信路生產基地
07-RES-144.6-5W,特好,水泥電阻144.6歐姆5W,2.9,TWD,PCS,新信路生產基地
07-RES-225.6-5W,特好,水泥電阻225.6歐姆5W,2.9,TWD,PCS,新信路生產基地
07-RES-36-5W,特好,水泥電阻36歐姆/5W,2.9,TWD,PCS,新信路生產基地
07-RES-48-3W,特好,水泥電阻48歐姆3W,3,TWD,PCS,新信路生產基地
07-RES-48-5W,特好,水泥電阻48歐姆5W,2.9,TWD,PCS,新信路生產基地
07-RES-56.4-5W,特好,水泥電阻56.4歐姆/5W,2.9,TWD,PCS,新信路生產基地
07-RES-6.3-5W,特好,水泥電阻6.3歐姆/5W,2.9,TWD,PCS,新信路生產基地
07-RES-72.3-5W,特好,水泥電阻72.3歐姆/5W,2.9,TWD,PCS,新信路生產基地
07-RES-75-3W,特好,水泥電阻75歐姆3W,3,TWD,PCS,新信路生產基地
07-RES-75-5W,特好,水泥電阻75歐姆5W,2.9,TWD,PCS,新信路生產基地
07-RES-8.4-3W,特好,水泥電阻8.4歐姆3W,3,TWD,PCS,新信路生產基地
07-RES-8.4-5W,特好,水泥電阻8.4歐姆5W,2.9,TWD,PCS,新信路生產基地
07-1000-70(-70)-5gal,傑地,1000-70 UL 凡立水  ( 70% ) - 5加侖 ( 20KG /,10000,TWD,PCS,新信路生產基地
07-2002AQ,傑地,水性凡立水_2002AQ_25L,13000,TWD,SET,新信路生產基地
07-BS-308,傑地,PH調整劑 (BS-308 3.2Kg/Gal Can)(附MDS物質資料表,3700,TWD,GAL,新信路生產基地
07-JR-02,傑地,JR-02凡立水保護膠剝除劑 20Kg/5Gal Pail,4000,TWD,PAIL,新信路生產基地
07-M-CE-1164(1QT CAN),傑地,CE-1164 1QT CAN (約900g),2500,TWD,SET,新信路生產基地
07-O-JD_625 (1L Can),傑地,JD-625 (1L Can)(UL絕緣保護膠),1230,TWD,SET,新信路生產基地
07-O-T_1300 (1 Gal),傑地,T-1300 (1 Gal)(稀釋劑-搭配JD-625使用),580,TWD,SET,新信路生產基地
07-SP-8845-A,傑地,SP-8845-A(5Kg),3350,TWD,KG,新信路生產基地
07-SP-8845-B,傑地,SP-8845-B(0.5Kg),335,TWD,KG,新信路生產基地
07-T-6600-1GAL-CAN,傑地,T-6600 稀釋劑(1GAL),780,TWD,GAL,新信路生產基地
07-V1630FS 3KG-GAL-CAN,傑地,V1630FS UL常溫硬化型凡立水(3KG/1GAL),1650,TWD,GAL,新信路生產基地
042-2SB1198K,增你強,2SB1198KR-T146,0.046,USD,PCS,中華西路總部
07-IRF540NPBF,增你強,IRF540NPBF,7.7,TWD,PCS,新信路生產基地
000-2A,功得,2A PBS 250V(Pb Free),3.3,TWD,PCS,新信路生產基地
000-30A,功得,30A AFP-A 250V (Pb Free),4.25,TWD,PCS,新信路生產基地
000-CQ301B,功得,CQ301B(保險絲座)(Pb Free),1.2,TWD,PCS,新信路生產基地
07-VBS UFE 2A 250V,功得,VBS UFE 2A 250V,2.3,TWD,PCS,新信路生產基地
07-06-820K,承昱,2W電阻820K ,2,TWD,PCS,新信路生產基地
07-CONS-0.18/30-100CM,承昱,30-100CM(紅黑耐熱線),25,TWD,SET,新信路生產基地
07-E-OTHR-PHI_T_13LINE,承昱,手搖繞線機13條線組(菲律賓廠),63.5,TWD,SET,中華西路總部
07-E-WIRE-9P Connect Line-1,承昱,9P雙頭彩虹線組,35,TWD,PCS,中華西路總部
07-EL-SMD PANEL,承昱,電子負載主副板SMD鋼板,4000,TWD,PCS,新信路生產基地
07-P-AC-DC-BURN-IN LINE,承昱,電子負載紅黑線加工,399,TWD,PCS,新信路生產基地
07S-AC-BURN-IN Plate,承昱,2.54連接公座10P,350,TWD,SET,新信路生產基地
07S-AMF-07-BURN IN,承昱,AMF-07 Burn in基板加工,58,TWD,PCS,新信路生產基地
07S-AMF-15 BURN-IN,承昱,AMF-15 BURN-IN 基板加工,46.5,TWD,PCS,新信路生產基地
07S-AMF-15/30/60C-T-BURN IN-Vin,承昱,BURN-IN線材：2P端子(殼)+3P綠端+ 纖維線(承昱提供),12,TWD,PCS,新信路生產基地
07S-AMF-15/30C-T-BURN IN-Vout,承昱,BURN-IN線材：2P端子(殼)+6P綠端+ 纖維線(承昱提供),12,TWD,PCS,新信路生產基地
07S-AMF-30-BURN-IN-Process,承昱,AMF-30-BURN-IN 基板加工,34.3,TWD,PCS,新信路生產基地
07S-AMF-60C-T-BURN IN-Vout,承昱,BURN-IN線材：4P端子(殼)+6P綠端+ 纖維線(承昱提供),24,TWD,PCS,新信路生產基地
07S-AMF15/30/60C-M-BURN IN-Vi,承昱,3P綠端子+基板焊2探針+2配線,11.5,TWD,PCS,新信路生產基地
07S-AMF15/30C-M-BURN IN-Vo,承昱,6P綠端子+基板焊2探針+2配線,11.5,TWD,PCS,新信路生產基地
07S-AMF30-BURN IN,承昱,AMF-30 BURN-IN 基板加工,50.8,TWD,PCS,新信路生產基地
07S-AMF60C-M-BURN IN-Vo,承昱,6P綠端子+基板焊4探針+4配線,23,TWD,PCS,新信路生產基地
07S-BURN-IN-BOARD-WIRE,承昱,BURN-IN主板紅黑訊號線材組裝加工,520,TWD,SET,新信路生產基地
07S-Burnin-PowerLine-RB,承昱,Burn-in台車電源線(鱷魚夾+Y端線材加工+含料),59,TWD,PCS,新信路生產基地
07S-CONSTANT-CUR-V2.0-SMT,承昱,CONSTANT-CURRENT-V2.0-SMT加工(不含料),2.3,TWD,SET,新信路生產基地
07S-DC-BURN-IN Plate,承昱,DC BURN-IN母板加工,345.8,TWD,PCS,新信路生產基地
07S-DC-PCB-BURN-IN-Car,承昱,BURN-IN-Car PCB加工(綠端+PIN座探針),55,TWD,PCS,新信路生產基地
07S-EL-MACHINE COMPONENTS,承昱,電子負載組裝加工,450,TWD,SET,新信路生產基地
07S-EL-back-machining,承昱,EL後板插件加工(不含線組),70,TWD,PCS,新信路生產基地
07S-EL-front-machining,承昱,EL前板插件加工,110,TWD,PCS,新信路生產基地
07S-EL-master-machining,承昱,EL主板SMD+DIP加工 (含料),288,TWD,PCS,新信路生產基地
07S-EL-slaver-machining,承昱,EL副板SMD+DIP加工 (含料),433.1,TWD,PCS,新信路生產基地
07S-MDW(I)-15 BURN-IN,承昱,MDW(I)-15 BURN-IN子座基板加工,38.8,TWD,PCS,新信路生產基地
07S-MFPU01H-BURNINWorking,承昱,MFPU01H-S/D-水泥電阻3W3顆基板加工,462.3,TWD,SET,新信路生產基地
07S-MJWI40-Burn-in,承昱,MJWI40 Burn-in基板加工,78,TWD,SET,新信路生產基地
07S-MKW1000.MJW-series,承昱,MKW1000系列6組銅夾片基板加工,81.3,TWD,PCS,新信路生產基地
07S-MKW5000.MKW-series,承昱,MPW1000-MKW5000系列6組銅夾片基板加工,81.3,TWD,PCS,中華西路總部
07S-MKWI80-Burn in-Sub,承昱,07S-MKWI80-Burn in測試子座,66.2,TWD,SET,新信路生產基地
07S-MPW1000.MKW5000-series,承昱,MPW1000.MKW5000系列7組銅夾片基板加工,89.2,TWD,PCS,中華西路總部
07S-MRZI150-24Vin-B/I-Sub,承昱,07S-MRZI150-24Vin-Burn in測試子座,67.5,TWD,SET,新信路生產基地
07S-MRZI75-Burn in-Sub,承昱,07S-MRZI75-Burn in測試子座,69.5,TWD,SET,新信路生產基地
07S-MTQZI100-150-BURN-IN,承昱,MTQZI100/150 BURN-IN子座加工(全綠漆),65,TWD,PCS,新信路生產基地
07S-MTQZI100150-BURN-IN,承昱,MTQZI100/150-BURN-IN加工,88,TWD,PCS,新信路生產基地
07S-P-4P Connect Line-1,承昱,4P雙頭耐熱線17公分線組,37,TWD,PCS,中華西路總部
07S-P-8P Connect Line-1,承昱,8P雙頭耐熱線10公分線組,37,TWD,PCS,中華西路總部
07S-P-AC-BURN-IN Plate,承昱,AC BURN-IN母板加工,350,TWD,PCS,新信路生產基地
07S-P-ATE Assemble,承昱,ATE機櫃組裝,28000,TWD,SET,新信路生產基地
07S-P-ATE_testpcb,承昱,ATE-testpcb藍排母座+軸心銅座基板加工,102,TWD,PCS,中華西路總部
07S-P-MIW10-Burn in-Sub,承昱,MIW10 Burn in測試子座,65.3,TWD,PCS,新信路生產基地
07S-P-PHI_T_PCBterminal,承昱,手搖繞線機PCB板端子加工(菲律賓廠),9,TWD,SET,中華西路總部
07S-P-PHI_T_USBLINE,承昱,手搖繞線機USB線組加工(菲律賓廠),5,TWD,SET,中華西路總部
07S-P-PHI_T_motor_line,承昱,手搖繞線機馬達線材加工(菲律賓廠),13,TWD,SET,中華西路總部
07S-P-Rainbowline-EL-8GROUPS,承昱,EL彩虹排線全8組(線材長170mm),116.1,TWD,PCS,新信路生產基地
07S-P-Ripple-11cm,承昱,11公分包網單蕊線加工,6.5,TWD,PCS,中華西路總部
07S-P-Ripple-8cm,承昱,8公分包網單蕊線加工,6.5,TWD,PCS,中華西路總部
07S-P-mjwdoublecontact-d,承昱,MJWl10-15-20-25-30-D板-雙接點子座加工,112.5,TWD,SET,中華西路總部
07S-P-mjwdoublecontact-s,承昱,MJWl10-15-20-25-30-S板-雙接點子座加工,93,TWD,SET,中華西路總部
07S-P-mkwdoublecontact-d,承昱,MKW10-20-40-50-5000-D板-雙接點子座加工,117.2,TWD,SET,中華西路總部
07S-P-mkwdoublecontact-s,承昱,MKW40-50-5000-S板-雙接點子座加工,102.5,TWD,SET,中華西路總部
07S-PCB-ACF-10,承昱,ACF-10 BURN-IN板加工,39.5,TWD,PCS,新信路生產基地
07S-PCB-AKF-60,承昱,AKF-60 BURN-IN板加工,23.3,TWD,PCS,新信路生產基地
07S-PCB-HP,承昱,HP板加工(含零件),70,TWD,PCS,新信路生產基地
07S-PCB-MBSU03,承昱,MBSU03 BURN-IN板加工,541.7,TWD,PCS,新信路生產基地
07S-PCB-MCWI04-D,承昱,MCWI04-D BURN-IN板加工,642.9,TWD,PCS,新信路生產基地
07S-PCB-MCWI04-S,承昱,MCWI04-S BURN-IN板加工,725.6,TWD,PCS,新信路生產基地
07S-PCB-REMOTE,承昱,REMOTE板加工(含零件),31,TWD,PCS,新信路生產基地
07S-PCB-new-remote,承昱,指撥式Remote板加工(含料),170,TWD,SET,新信路生產基地
07S-Rainbowline-A1,承昱,電子負載A1彩虹排線(1007#26線材長170mm),6.8,TWD,PCS,新信路生產基地
07S-Rainbowline-A2,承昱,電子負載A2彩虹排線(1007#26線材長170mm),6.8,TWD,PCS,新信路生產基地
07S-Rainbowline-A3,承昱,電子負載A3彩虹排線(1007#26線材長170mm),9,TWD,PCS,新信路生產基地
07S-Rainbowline-A4,承昱,電子負載A4彩虹排線(1007#26線材長170mm),20.5,TWD,PCS,新信路生產基地
07S-Rainbowline-A5,承昱,電子負載A5彩虹排線(1007#26線材長170mm),20.5,TWD,PCS,新信路生產基地
07S-Rainbowline-A6,承昱,電子負載A6彩虹排線(1007#26線材長170mm),23.9,TWD,PCS,新信路生產基地
07S-Rainbowline-A7,承昱,電子負載A7彩虹排線(1007#26線材長170mm),12.5,TWD,PCS,新信路生產基地
07S-Rainbowline-A8,承昱,電子負載A8彩虹排線(1007#26線材長170mm),6.8,TWD,PCS,新信路生產基地
07S-Verification ATE 14P,承昱,雙頭14P綠端子線組加工,95,TWD,PCS,新信路生產基地
07S-Verification ATE 8P,承昱,雙頭8P母端子線組加工,60,TWD,PCS,新信路生產基地
07S-test-mom-sent,承昱,新式測試母座加工(含料),1500,TWD,SET,新信路生產基地
03-CDV-1025,智楊,CDV-1025(導電儲運箱625x428x195),500,TWD,PCS,中華西路總部
07S-FREIGHT-1003,智楊,運費,1000,TWD,PCS,中華西路總部
FREIGHT,智楊,回頭車運費 ( 台南地區 ),1000,TWD,SET,中華西路總部
07-ACS-WF,粘謹,羊毛氈(T3×210×290),1200,TWD,PCS,新信路生產基地
07-ACS-WF-T3x210x250,粘謹,羊毛氈(T3×210×250),1000,TWD,PCS,新信路生產基地
07-CDM2BZ25-100,粘謹,移位站氣缸,3800,TWD,SET,新信路生產基地
07-Dual-Table-Insert-Pin,粘謹,NCM20230411-4_端子植入機,2250000,TWD,SET,中華西路總部
07-Dual-Table-Insert-Pin-Ver2.0,粘謹,NCM20240429-2,650000,TWD,SET,新信路生產基地
07-EQ_P-SY5120-5G-01,粘謹,電磁閥/SY5120-5G-01,2100,TWD,PCS,新信路生產基地
07-EQ_P-SY5220-5LZE-01,粘謹,電磁閥/SY5220-5LZE-01,2400,TWD,PCS,新信路生產基地
07-Insert-Pin-Design,粘謹,NCM20230220(端子植入機之前置設計規畫費用),100000,TWD,SET,新信路生產基地
07-J-MIW-Serial-6Pces,粘謹,KFP-MM-治具(01+02),60300,TWD,SET,中華西路總部
07-J-MIW-Serial-6Pces-Design,粘謹,KFP-MM-治具設計費,5500,TWD,SET,中華西路總部
07-KFR-CEC-SC1008-3,粘謹,緩衝器CEC SC1008-3,600,TWD,PCS,新信路生產基地
07-KFR-FIBER-SENSOR,粘謹,入料光纖線感測器,1000,TWD,SET,新信路生產基地
07-conveyor-300mmx40mm,粘謹,輸送帶/300mmx40mm,40000,TWD,SET,新信路生產基地
07S-FIX-KFR-MM-001,粘謹,SIP自動選向雷雕機-粘謹-汽缸機構及電磁閥維修,24700,TWD,SET,新信路生產基地
07S-FIX-KFR-MM-001 Add Replace,粘謹,KFR-MM-001 雷雕機追加需更換之項目(含安裝),7500,TWD,SET,新信路生產基地
07S-FIX-KFR-MM-001-Replace Track,粘謹,KFR-MM-001主軌道更換方案,183000,TWD,SET,新信路生產基地
07S-FIX-KFR_MM_001,粘謹,雷雕機維修(更換汽缸及感應器),5550,TWD,SET,新信路生產基地
07S-FIX-SIP-Replace Controller,粘謹,振動盤控制器更換PFD30L(含人員出差維修),13000,TWD,SET,新信路生產基地
07S-FIX-SP-00024-03,粘謹,KFR-MM-001設備維修費用,3800,TWD,SET,新信路生產基地
07S-conveyor-300mmx40mm -12.5K,粘謹,輸送帶/300mmx40mm(修改),12000,TWD,SET,新信路生產基地
07-Ball Plunger,璟垟,清洗載具定位珠,100,TWD,PCS,新信路生產基地
07-JY-B20- PUMP-38.5K,璟垟,JY-B20真空泵浦 (含舊機折抵),38500,TWD,PCS,新信路生產基地
07-MSAU-CleanFixture-TEFLON,璟垟,鐵氟龍清洗載具,2600,TWD,SET,新信路生產基地
07-MSAU-CleanFixture-TEFLON+SS,璟垟,清洗載具(鐵弗龍+白鐵框架) 2支/組,3500,TWD,SET,新信路生產基地
07-Vacuum pump oil-4L,璟垟,真空泵浦專用油/4L裝(桶),1700,TWD,PAIL,新信路生產基地
07S-ALCATEL 2015SD-17K,璟垟,ALCATEL 2015SD真空泵浦漏油維修,17000,TWD,SET,新信路生產基地
07S-Airtight-SS-Lift Door,璟垟,自動清洗室隔間氣密式不銹鋼升降門,99000,TWD,SET,新信路生產基地
07S-FIX-Vacuum Pump Replacement,璟垟,脫泡機真空泵浦舊換新,38500,TWD,SET,新信路生產基地
07S-LEYBOLD SV28-31K,璟垟,LEYBOLD SV28真空泵浦 (含舊機折抵),31000,TWD,SET,新信路生產基地
07S-LEYBOLD SV28-REPAIR,璟垟,LEYBOLD SV28真空泵浦維修,6500,TWD,SET,新信路生產基地
07S-LT-20B-14.5K,璟垟,真空箱真空泵浦維修,14500,TWD,SET,新信路生產基地
07S-M7-009-002-15.5K,璟垟,真空脫泡攪拌機真空泵浦大保養,15500,TWD,SET,新信路生產基地
07S-M7-09-001-2.2K,璟垟,真空脫泡攪拌機(NO:001)維修,2200,TWD,SET,新信路生產基地
07S-M7-09-001-2K,璟垟,真空脫泡攪拌機(NO:001)檢測,2000,TWD,SET,新信路生產基地
07S-M7-09-002-7.8K,璟垟,真空泵浦維修(含拆檢.組裝.試車.運送),7800,TWD,SET,新信路生產基地
07S-M7-09-005-14.85K,璟垟,真空脫泡攪拌機更換調速器及LED真空錶,14850,TWD,SET,新信路生產基地
07S-Stainless Steel Lift Door,璟垟,自動清洗室隔間不銹鋼升降門組,75000,TWD,SET,新信路生產基地
07-42U77-ATE BRACKET-2022,鎰譁,2022測試機櫃支架(42U77),1200,TWD,SET,新信路生產基地
07-ATE-cabinet,鎰譁,"19""儀器組合架-標準型/白色(HD-42U77) W60*D77*H206",40000,TWD,PCS,新信路生產基地
07-ATS-WORK TABLE(AL),鎰譁,鋁擠型工作桌(W1200XH700XD500),16000,TWD,SET,新信路生產基地
07-HD-42U77-YAMAHA,鎰譁,"HD-42U77(19""儀器組合架600X770X2060)",35150,TWD,SET,新信路生產基地
07-Unitech-MS852-Plus,精聯,Unitech MS852+ 高解析二維條碼機,6500,TWD,SET,新信路生產基地
07-O-Stainless Table,佳恩,客製不銹鋼前滑門3F廚櫃+後擋牆,31000,TWD,SET,中華西路總部
07-V8-ORINGKIT,瑞祥,V8隔膜膠閥秏材包,320,TWD,PCS,新信路生產基地
07-V8-VALVE,瑞祥,V8隔膜膠閥,8500,TWD,PCS,新信路生產基地
FREIGHT,宏威,宏威快遞費用,0,TWD,SET,新信路生產基地
07-Arduino-MEGA-2560,仲微,Arduino MEGA 2560 R3版,290,TWD,PCS,新信路生產基地
07-MAX6675-Module,仲微,MAX6675溫度模組,114,TWD,PCS,新信路生產基地
07-RPI-CASE-AND-FANS,仲微,RASPBERRY PI 3 外殼(9層式、附SUNON磁浮風扇),205,TWD,SET,新信路生產基地
07-RPI-HOST,仲微,RASPBERRY PI 3 MODEL B,1165,TWD,PCS,新信路生產基地
